vids freq
GRK_AGIA39_1_6 0.036253
GRK_AGIA39_1_6 0.014099
GRK_AGIA39_1_6 0.030436
GRK_AGIA39_1_6 0.030431
GRK_AGIA39_1_6 0.025204
GRK_AGIA39_1_6 0.030882
GRK_AGIA39_1_6 0.014701
GRK_AGIA39_1_6 0.014392
GRK_AGIA39_1_6 0.029660
GRK_AGIA39_1_6 0.014759
GRK_AGIA39_1_6 0.015099
GRK_AGIA39_1_6 0.036471
GRK_AGIA39_1_6 0.041826
GRK_AGIA39_1_7 0.014247
GRK_AGIA39_1_7 0.043761
GRK_AGIA39_1_7 0.044397
GRK_AGIA39_1_7 0.038501
GRK_AGIA39_1_7 0.034345
GRK_AGIA39_1_7 0.034917
GRK_AGIA39_1_7 0.034917
GRK_AGIA39_1_7 0.028808
GRK_AGIA39_1_7 0.041075
GRK_AGIA39_1_7 0.046716
GRK_AGIA39_1_7 0.046709
GRK_AGIA39_1_7 0.015839
GRK_AGIA39_1_7 0.047017
GRK_AGIA39_1_7 0.040254
GRK_AGIA39_1_7 0.047967
GRK_AGIA39_1_7 0.047533
GRK_AGIA39_1_7 0.044514
GRK_AGIA39_1_7 0.014271
GRK_AGIA39_1_7 0.036253
GRK_AGIA39_1_7 0.014099
GRK_AGIA39_1_7 0.030436
GRK_AGIA39_1_7 0.030431
GRK_AGIA39_1_7 0.025204
GRK_AGIA39_1_7 0.030882
GRK_AGIA39_1_7 0.014701
GRK_AGIA39_1_7 0.014392
GRK_AGIA39_1_7 0.029660
GRK_AGIA39_1_7 0.014759
GRK_AGIA39_1_7 0.015099
GRK_AGIA39_1_7 0.036471
GRK_AGIA39_1_7 0.041826
GRK_AGIA81_2_1 0.004865
GRK_AGIA81_2_1 0.005250
GRK_AGIA81_2_1 0.004792
GRK_AGIA81_2_1 0.004648
GRK_AGIA81_2_1 0.008881
GRK_AGIA81_2_1 0.004805
GRK_AGIA81_2_1 0.012265
GRK_AGIA81_2_1 0.007090
GRK_AGIA81_2_1 0.006802
GRK_AGIA81_2_1 0.010695
GRK_AGIA81_2_1 0.016730
GRK_AGIA81_2_1 0.016792
GRK_AGIA81_2_1 0.005020
GRK_AGIA81_2_1 0.011940
GRK_AGIA81_2_1 0.011894
GRK_AGIA81_2_1 0.016985
GRK_AGIA81_2_1 0.013170
GRK_AGIA81_2_1 0.012636
GRK_AGIA81_2_1 0.003816
GRK_AGIA81_2_1 0.012858
GRK_AGIA81_2_1 0.013211
GRK_AGIA81_2_1 0.006220
GRK_AGIA81_2_1 0.006734
GRK_AGIA81_2_1 0.014428
GRK_AGIA81_2_1 0.014766
GRK_AGIA81_2_1 0.015782
GRK_AGIA81_2_1 0.006963
GRK_AGIA81_2_1 0.006165
GRK_AGIA81_2_1 0.007864
GRK_AGIA81_2_1 0.005257
GRK_AGIA81_2_1 0.016358
GRK_AGIA81_2_1 0.008490
GRK_AGIA81_2_1 0.019910
GRK_AGIA81_2_1 0.018363
GRK_AGIA81_2_1 0.018167
GRK_AGIA81_2_1 0.014596
GRK_AGIA81_2_1 0.018924
GRK_AGIA81_2_1 0.018741
GRK_AGIA81_2_1 0.019182
GRK_AGIA81_2_1 0.018364
GRK_AGIA81_2_1 0.012335
GRK_AGIA81_2_1 0.019802
GRK_AGIA81_2_1 0.018714
GRK_AGIA81_2_1 0.018531
GRK_AGIA81_2_1 0.018363
GRK_AGIA81_2_1 0.018879
GRK_AGIA81_2_1 0.019329
GRK_AGIA81_2_1 0.019493
GRK_AGIA81_2_1 0.005937
GRK_AGIA81_2_1 0.018903
GRK_AGIA81_2_1 0.018903
GRK_AGIA81_2_1 0.020847
GRK_AGIA81_2_1 0.020508
GRK_AGIA81_2_1 0.020444
GRK_AGIA81_2_1 0.021546
GRK_AGIA81_2_1 0.020847
GRK_AGIA81_2_1 0.020774
GRK_AGIA81_2_1 0.005823
GRK_AGIA81_2_1 0.006133
GRK_AGIA81_2_1 0.006118
GRK_AGIA81_2_1 0.015048
GRK_AGIA81_2_1 0.006069
GRK_AGIA81_2_1 0.005218
GRK_AGIA81_2_1 0.005309
GRK_AGIA81_2_1 0.005352
GRK_AGIA81_2_1 0.005324
GRK_AGIA81_2_1 0.005407
GRK_AGIA81_2_1 0.012379
GRK_AGIA81_2_1 0.010206
GRK_AGIA81_2_1 0.014009
GRK_AGIA81_2_1 0.006656
GRK_AGIA81_2_1 0.007267
GRK_AGIA81_2_1 0.013846
